BANKA SLOVENIJE;1;BSLJ SI 2X;banka
UNICREDIT BANKA SLOVENIJA D.D.;29;BACX SI 22;banka
BANKA CELJE D.D.;6;SBCE SI 2X;banka
BANKA KOPER D.D.;10;BAKO SI 2X;banka
DEŽELNA BANKA SLOVENIJE D.D.;19;SZKB SI 2X;banka
FACTOR BANKA D.D.;27;FCTB SI 2X;banka
GORENJSKA BANKA, D.D., KRANJ;7;GORE SI 2X;banka
HYPO-ALPE-ADRIA BANK D.D.;33;HAAB SI 22;banka
BANKA SPARKASSE D.D.;34;KSPK SI 22;banka
NOVA KREDITNA BANKA MARIBOR D.D.;4;KBMA SI 2X;banka
NOVA LJUBLJANSKA BANKA D.D.;2;LJBA SI 2X;banka
POŠTNA BANKA SLOVENIJE D.D.;90;PBSL SI 22;banka
PROBANKA D.D.;25;PROB SI 2X;banka
RAIFFEISEN BANKA D.D. ;24;KREK SI 22;banka
SKB BANKA D.D.;3;SKBA SI 2X;banka
BANKA VOLKSBANK D.D.;30;SLBV SI 2X;banka
BKS BANK AG, BANČNA PODRUŽNICA ;35;BFKK SI 22;banka
ZVEZA BANK, PODRUŽNICA LJUBLJANA;37;VSGK SI 2K;banka
SID - Slovenska izvozna in razvojna banka, d.d., Ljubljana ;38;SIDR SI 22;banka
ABANKA VIPA d.d. ;5;ABAN SI 2X;banka
KD Banka d.d. ;41;KDBA SI 22;banka
DELAVSKA HRANILNICA D.D.;61;HDEL SI 22;hranilnica
HRANILNICA LON D.D. KRANJ;60;HLON SI 22;hranilnica
HRANILNICA IN POSOJILNICA VIPAVA D.D.;64;HKVI SI 22;hranilnica
KDD-KLIRINŠKO DEPOTNA DRUŽBA D.D.;79;KDDS SI 22;druge finančne organizacije
